game_n,winner,turn_outcome
0,,"(1, 0, 2, 0, 1, 1, 0, 2, 1, 1, 1, 1, 2, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1)"
1,5,"(0, 1, 1, 2, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 2, 2, 2, 0, 2, 2, 0, 2, 1, 0, 2, 2, 2, 1, 0, 0, 2, 1, 0, 1, 1, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 1, 0, 2, 1)"
2,2,"(1, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 2, 2, 1, 1, 1, 0, 2, 2, 1, 0, 1, 2, 0, 0, 1, 1, 2, 1, 0, 2, 0, 0, 2, 1, 1, 1, 1)"
3,3,"(1, 0, 2, 1, 2, 1, 0, 2, 0, 0, 2, 1, 0, 2, 1, 1, 1, 0, 2, 2, 2, 0, 2, 1, 1, 2, 0, 1, 2, 0, 2, 0, 0, 1, 1, 1, 1, 2, 0, 2, 0, 0, 0, 1, 2, 1)"
4,5,"(1, 0, 2, 2, 1, 1, 1, 2, 2, 0, 2, 1, 1, 2, 2, 0, 0, 2, 2, 1, 1, 1, 2, 2, 2, 0, 1, 0, 1, 2, 0, 1, 2, 2, 1, 1, 0, 1, 2, 0, 2, 1)"
5,0,"(1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 0, 2, 0, 0, 1, 0, 0, 2, 1, 1, 2, 2, 2, 0, 0, 2, 1, 0, 1)"
6,1,"(1, 1, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 2, 2, 2, 1, 0, 2, 0, 0, 0, 1)"
7,2,"(1, 1, 1, 2, 1, 0, 2, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 1, 1, 1, 2, 0, 1, 1, 2, 2, 0, 2, 0, 1, 1)"
8,2,"(1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 2, 0, 1, 1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1)"
9,,"(1, 0, 0, 1, 2, 1, 1, 0, 0, 2, 1, 2, 0, 0, 1, 2, 0, 2, 2, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 0, 2, 0, 1, 2, 1)"
10,2,"(1, 1, 1, 1, 0, 1, 2, 0, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 0, 2, 2, 0, 0, 1, 1, 0, 1, 1, 2, 2, 1)"
11,5,"(1, 1, 1, 1, 2, 0, 2, 2, 0, 0, 1, 1, 1, 1, 0, 0, 2, 2, 1, 2, 1, 2, 0, 2, 1, 1, 0, 0, 1, 2, 2, 2, 2, 0, 0, 2, 0, 0, 1, 1, 0, 1)"
12,5,"(1, 1, 2, 1, 0, 0, 2, 1, 1, 1, 1, 2, 2, 2, 0, 1, 0, 2, 2, 0, 2, 1, 0, 2, 2, 1, 2, 2, 1, 2, 1, 1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 2, 1)"
13,1,"(0, 1, 0, 1, 2, 2, 1, 0, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 0, 1, 2, 2, 2, 0, 2, 2, 2, 0, 1, 2, 2, 1, 2, 2, 2, 0, 1, 1, 0, 2, 2, 0, 2, 1, 0, 2, 1)"
14,2,"(0, 1, 2, 1, 2, 0, 0, 1, 1, 2, 1, 0, 2, 0, 2, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 1, 1, 1, 1, 2, 0, 2, 2, 0, 0, 2, 1, 0, 2, 0, 2, 1, 0, 0, 0, 2, 2, 2, 2, 1, 1)"
15,5,"(1, 1, 2, 0, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 2, 1, 0, 0, 1, 0, 2, 0, 2, 2, 0, 0, 2, 1, 0, 1, 1)"
16,2,"(1, 1, 1, 1, 2, 1, 2, 0, 2, 0, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 0, 2, 2, 2, 1, 2, 1, 2, 0, 2, 1, 2, 1, 1, 0, 0, 0, 2, 1, 0, 1)"
17,1,"(1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 2, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 2, 2, 2, 1, 0, 0, 0, 1, 1, 1)"
18,1,"(1, 1, 1, 2, 0, 2, 1, 2, 0, 1, 1, 2, 1, 0, 2, 0, 0, 1, 2, 2, 0, 1, 1, 1, 0, 2, 1, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1)"
19,1,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 2, 1, 1, 2, 0, 1, 2, 1, 2, 0, 0, 2, 0, 1, 0, 2, 2, 1, 2, 1, 1, 2, 0, 2, 0, 2, 0, 1, 1)"
20,0,"(0, 1, 1, 1, 1, 2, 1, 1, 2, 0, 1, 0, 1, 0, 2, 1, 2, 1, 1, 2, 0, 1, 2, 2, 1, 2, 2, 2, 2, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 1)"
21,4,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 1, 1, 1, 1, 0, 2, 2, 2, 1, 2, 0, 0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 1, 2, 2, 1, 2, 0, 2, 0, 2, 0, 1)"
22,0,"(1, 1, 0, 0, 0, 1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 2, 0, 0, 1, 0, 1, 2, 0, 2, 0, 2, 1, 2, 0, 2, 0, 0, 2, 1, 0, 1, 2, 1)"
23,0,"(1, 1, 1, 0, 1, 1, 1, 0, 2, 0, 0, 2, 1, 2, 2, 2, 1, 2, 1, 2, 0, 0, 2, 0, 0, 2, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 1, 2, 1)"
