game_n,winner,turn_outcome
0,1,"(1, 0, 2, 0, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 0, 2, 0, 1, 1, 1, 0, 0, 2, 0, 1, 1, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 2, 2, 0, 1)"
1,5,"(1, 1, 1, 2, 1, 0, 1, 2, 0, 1, 2, 1, 1, 2, 1, 2, 2, 0, 2, 2, 2, 1, 0, 2, 2, 0, 2, 1, 1, 0, 0, 2, 2, 1, 0, 1, 1, 0, 2, 1)"
2,3,"(1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 2, 0, 1, 2, 2, 0, 2, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 2, 2, 0, 1, 2, 1, 1, 2, 2, 1)"
3,3,"(1, 2, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 1, 2, 1, 0, 1, 2, 2, 1, 0, 1, 0, 2, 0, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 1)"
4,,"(1, 1, 0, 0, 2, 2, 1, 1, 2, 2, 0, 2, 0, 2, 1, 1, 0, 2, 1, 0, 0, 0, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 0, 2, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 1, 2, 1, 0, 2, 1, 2, 2, 2, 2, 0, 2, 1)"
5,,"(1, 1, 1, 2, 2, 2, 2, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 1, 1, 2, 0, 0, 2, 0, 2, 1, 0, 1, 2, 1, 0, 1, 2, 0, 1, 2, 2, 0, 2, 1, 0, 1, 0, 0, 2, 1, 2, 2, 2, 2, 0, 0, 0, 2, 2, 1)"
6,1,"(1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 0, 0, 2, 2, 2, 0, 1, 2, 0, 2, 0, 2, 0, 0, 2, 0, 2, 1, 1, 2, 2, 0, 2, 1, 2, 2, 0, 2, 0, 0, 2, 1, 0, 2, 0, 0, 0, 2, 1, 2, 0, 1, 0, 1)"
7,2,"(0, 1, 1, 1, 2, 2, 2, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 2, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 0, 1, 2, 0, 1, 2, 0, 2, 0, 0, 1)"
8,4,"(1, 0, 1, 2, 1, 2, 1, 1, 1, 2, 2, 0, 2, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 0, 1, 2, 0, 2, 2, 1, 0, 2, 2, 0, 0, 0, 1)"
9,,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 2, 2, 0, 1, 2, 1, 2, 1, 2, 0, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 0, 2, 2, 1)"
10,4,"(1, 1, 1, 1, 1, 2, 0, 2, 2, 0, 2, 0, 2, 1, 0, 0, 0, 2, 2, 1, 2, 0, 2, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 1, 1, 2, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 1, 0, 2, 0, 0, 2, 2, 2, 2, 0, 1)"
11,4,"(1, 2, 1, 2, 2, 1, 1, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 1, 2, 1, 2, 2, 2, 0, 2, 2, 2, 0, 2, 0, 1, 2, 2, 0, 2, 2, 0, 2, 0, 1)"
12,4,"(1, 1, 1, 2, 0, 1, 0, 2, 2, 1, 2, 2, 1, 0, 0, 2, 0, 1, 1, 0, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 0, 0, 1, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 0, 1, 0, 2, 1)"
13,1,"(1, 0, 2, 1, 0, 2, 1, 0, 1, 0, 0, 1, 2, 1, 2, 1, 1, 2, 1, 2, 0, 0, 2, 1, 0, 0, 1, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 2, 2, 0, 1)"
14,2,"(1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 2, 1, 1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 0, 1, 0, 0, 0, 2, 1, 0, 1)"
15,5,"(1, 2, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 2, 1, 2, 2, 0, 2, 0, 0, 0, 0, 1, 2, 0, 1, 2, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 0, 2, 2, 0, 2, 2, 2, 2, 1)"
16,4,"(0, 1, 2, 2, 0, 0, 1, 1, 2, 0, 2, 1, 2, 1, 2, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 1, 1, 2, 1, 0, 0, 0, 1, 1, 2, 2, 1, 2, 2, 0, 0, 1, 0, 2, 1)"
17,3,"(1, 2, 1, 2, 1, 1, 2, 2, 0, 1, 1, 1, 2, 0, 1, 2, 2, 1, 1, 0, 2, 0, 2, 0, 1, 0, 1, 2, 2, 1, 0, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 2, 0, 1, 1)"
