game_n,winner,turn_outcome
0,3,"(1, 1, 0, 2, 1, 2, 1, 2, 0, 1, 2, 1, 2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 0, 1, 1, 1, 0, 2, 2, 0, 2, 1, 0, 2, 0, 0, 0, 1, 2, 2, 0, 0, 1)"
1,3,"(0, 1, 1, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1)"
2,3,"(1, 1, 2, 1, 0, 0, 2, 1, 0, 1, 2, 2, 0, 2, 1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 1)"
3,0,"(0, 0, 0, 1, 0, 1, 1, 2, 0, 2, 2, 2, 0, 1, 2, 2, 1, 1, 1, 0, 0, 2, 2, 0, 1, 2, 2, 1, 0, 1, 1, 2, 2, 0, 2, 1, 2, 2, 0, 1, 2, 0, 1, 1, 0, 0, 0, 2, 2, 2, 2, 0, 1)"
4,0,"(1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1, 0, 1, 2, 2, 1, 0, 1, 2, 0, 1, 1, 1, 0, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 1, 2, 1, 2, 2, 1)"
5,1,"(0, 0, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 0, 0, 2, 2, 0, 0, 2, 2, 1, 2, 0, 0, 1, 0, 1, 0, 2, 1)"
6,2,"(1, 2, 1, 1, 0, 1, 1, 2, 2, 1, 2, 0, 1, 2, 2, 2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1)"
7,0,"(1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 2, 1, 0, 1, 2, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 0, 1)"
8,3,"(1, 1, 1, 2, 1, 1, 0, 2, 2, 1, 2, 1, 2, 2, 0, 0, 1, 2, 1, 2, 1, 0, 0, 1, 0, 1, 2, 1, 1, 2, 1, 2, 0, 1)"
9,,"(1, 1, 2, 1, 1, 2, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 0, 2, 0, 2, 2, 1, 0, 2, 1, 2, 0, 1, 1, 1, 1, 2, 0, 2, 1, 0, 2, 2, 2, 0, 0, 1)"
10,4,"(1, 1, 1, 0, 1, 2, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 0, 2, 2, 2, 2, 2, 0, 0, 0, 1, 1, 0, 2, 0, 1, 2, 2, 2, 1)"
11,3,"(0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 0, 2, 0, 2, 0, 1, 2, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 1, 1, 2, 1)"
12,,"(0, 1, 1, 0, 2, 0, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 1, 2, 1, 0, 1, 0, 2, 0, 2, 0, 2, 1, 0, 1, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 0, 2, 2, 1)"
13,2,"(1, 1, 1, 0, 1, 2, 2, 0, 2, 1, 0, 0, 2, 0, 2, 0, 2, 1, 1, 2, 2, 0, 2, 2, 0, 2, 2, 1, 2, 0, 0, 0, 1, 1, 0, 2, 1, 1, 1, 2, 0, 2, 1, 0, 1, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1)"
14,0,"(1, 1, 1, 1, 2, 2, 2, 2, 1, 0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 2, 2, 0, 2, 0, 1, 0, 0, 0, 2, 2, 0, 1)"
15,3,"(1, 0, 1, 1, 0, 0, 0, 1, 1, 2, 0, 2, 2, 1, 2, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 1, 0, 1, 1, 2, 1, 1, 0, 2, 1, 0, 2, 2, 1, 2, 0, 2, 1, 1)"
16,1,"(1, 0, 1, 1, 1, 2, 2, 0, 0, 0, 1, 2, 0, 2, 0, 2, 1, 2, 2, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 0, 1, 0, 2, 1, 1)"
17,,"(1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 2, 0, 1)"
18,,"(1, 2, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 1, 1, 2, 2, 0, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 0, 0, 0, 2, 0, 1, 1, 1)"
19,,"(1, 2, 0, 0, 1, 1, 2, 0, 2, 2, 0, 1, 2, 1, 1, 0, 2, 0, 1, 2, 1, 1, 0, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 0, 0, 2, 1)"
20,,"(1, 1, 2, 1, 2, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0, 2, 1, 0, 0, 0, 1, 0, 2, 2, 0, 2, 2, 0, 1)"
21,0,"(0, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 0, 1, 1, 2, 2, 2, 0, 2, 0, 2, 1, 0, 0, 1, 0, 2, 2, 2, 2, 1)"
22,2,"(1, 0, 1, 1, 1, 1, 0, 2, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 0, 1, 2, 1, 0, 2, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1)"
23,2,"(0, 1, 0, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 2, 2, 0, 0, 0, 2, 2, 0, 1, 1, 0, 2, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1)"
24,1,"(1, 2, 0, 1, 2, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 2, 0, 1, 2, 2, 0, 2, 1, 1, 0, 0, 0, 1, 1)"
25,2,"(1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 0, 2, 2, 2, 2, 1, 1, 1, 0, 2, 2, 0, 2, 1, 1)"
26,0,"(0, 1, 0, 2, 1, 2, 0, 1, 0, 2, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 2, 0, 2, 1, 2, 2, 2, 1, 0, 1, 2, 1, 1, 2, 0, 2, 1)"
