dice collected	faces collected	stone 1	stone 2	stone 3	stone 4	stone 5	stone 6	stone 7	stone 8		
1	1	6								6	
2	1	6	1							6	
2	2	6	5							30	
3	1	6	1							6	
3	2	6	5	2						60	
3	3	6	5	4						120	
4	1	6	1	1	1					6	
4	2	6	5	2	2					120	
4	3	6	5	4	3					360	
4	4	6	5	4	3					360	
5	1	6	1	1	1	1				6	
5	2	6	5	2	2	2				240	
5	3	6	5	4	3	3				1080	
5	4	6	5	4	3	4				1440	
5	5	6	5	4	3	2				720	
6	1	6	1	1	1	1	1			6	
6	2	6	5	2	2	2	2			480	
6	3	6	5	4	3	3	3			3240	
6	4	6	5	4	3	4	4			5760	
6	5	6	5	4	3	2	5			3600	
6	6	6	5	4	3	2	1			720	
7	1	6	1	1	1	1	1	1		6	
7	2	6	5	2	2	2	2	2		960	
7	3	6	5	4	3	3	3	3		9720	
7	4	6	5	4	3	4	4	4		23040	
7	5	6	5	4	3	2	5	5		18000	
7	6	6	5	4	3	2	1	6		4320	
8	1	6	1	1	1	1	1	1	1	6	
8	2	6	5	2	2	2	2	2	2	1920	
8	3	6	5	4	3	3	3	3	3	29160	
8	4	6	5	4	3	4	4	4	4	92160	
8	5	6	5	4	3	2	5	5	5	90000	
8	6	6	5	4	3	2	1	6	6	25920	
											313578
