game_n,winner,turn_outcome
0,3,"(1, 0, 2, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 1)"
1,3,"(1, 2, 1, 1, 2, 0, 1, 2, 1, 2, 0, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 2, 1, 2, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1)"
2,3,"(1, 1, 2, 2, 2, 1, 0, 1, 1, 0, 2, 1, 2, 1, 1, 2, 0, 1, 2, 1, 2, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1)"
3,0,"(1, 1, 0, 1, 0, 0, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 2, 2, 1, 2, 2, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1)"
4,2,"(1, 1, 0, 1, 2, 1, 0, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1)"
5,2,"(1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 2, 1, 0, 1, 2, 2, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1)"
6,0,"(0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 1, 1, 1, 2, 0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1)"
7,,"(1, 1, 0, 2, 0, 0, 2, 0, 2, 0, 2, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 2, 2, 2, 0, 2, 0, 2, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1)"
8,1,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 2, 1, 0, 1, 2, 2, 2, 1, 0, 2, 0, 0, 2, 2, 2, 2, 1, 0, 0, 1)"
9,2,"(1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 0, 2, 0, 2, 0, 2, 0, 0, 1, 0, 2, 0, 1, 2, 1, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 2, 2, 0, 1, 0, 0, 1, 2, 0, 2, 2, 1)"
10,1,"(1, 1, 0, 1, 0, 1, 0, 2, 1, 1, 1, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 1, 2, 2, 0, 1)"
11,3,"(1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 0, 1, 1, 2, 0, 1, 0, 1, 1, 0, 1, 2, 0, 2, 0, 1, 1, 1, 1)"
12,3,"(0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 1, 2, 0, 1, 2, 1, 2, 2, 0, 1, 2, 1, 2, 0, 0, 2, 1, 0, 2, 2, 1)"
13,2,"(1, 0, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 2, 2, 1, 2, 2, 0, 1, 0, 0, 2, 2, 0, 1, 0, 1, 1)"
14,3,"(1, 1, 0, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 1, 0, 0, 2, 1, 2, 1)"
15,0,"(1, 1, 1, 2, 2, 1, 2, 0, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 2, 1, 2, 0, 1, 2, 2, 0, 2, 2, 0, 2, 2, 0, 1, 2, 1)"
16,0,"(1, 1, 0, 0, 1, 0, 1, 1, 2, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 1, 1, 0, 1)"
17,0,"(1, 1, 2, 1, 1, 1, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 2, 2, 2, 1, 1, 0, 1, 1, 0, 2, 2, 1, 2, 1)"
18,,"(1, 1, 0, 0, 2, 0, 2, 2, 2, 0, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 2, 2, 2, 0, 2, 1, 2, 1, 0, 1, 2, 1)"
19,0,"(1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 1, 1, 2, 1, 1, 0, 1, 2, 1, 1)"
20,1,"(1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 0, 0, 1, 1, 2, 2, 1, 0, 1, 2, 1, 1, 2, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 1, 0, 1)"
21,2,"(1, 2, 2, 1, 0, 1, 2, 1, 2, 1, 2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1)"
22,2,"(0, 0, 1, 1, 1, 2, 1, 2, 2, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 2, 0, 2, 1, 2, 1, 2, 0, 1)"
23,1,"(1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 2, 1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1)"
24,1,"(1, 0, 1, 0, 2, 0, 2, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 2, 2, 0, 1, 0, 0, 1, 2, 2, 0, 1)"
25,0,"(1, 1, 0, 1, 1, 0, 1, 2, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 2, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1)"
26,2,"(0, 1, 1, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1, 2, 1, 2, 0, 2, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 0, 2, 0, 2, 2, 1)"
27,0,"(1, 0, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 2, 2, 0, 2, 2, 0, 2, 1)"
28,3,"(0, 0, 1, 0, 2, 1, 1, 2, 1, 0, 2, 0, 2, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 2, 2, 0, 1, 2, 1, 1, 2, 1)"
29,2,"(1, 1, 1, 2, 1, 0, 2, 1, 2, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1)"
30,2,"(1, 0, 0, 2, 0, 0, 1, 0, 1, 2, 2, 0, 0, 0, 1, 1, 0, 1, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 0, 2, 1, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1)"
31,0,"(1, 1, 2, 2, 2, 1, 0, 2, 1, 1, 0, 1, 0, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 0, 1, 0, 2, 2, 2, 0, 1, 2, 0, 2, 2, 0, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1)"
32,2,"(1, 1, 2, 2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 1, 1, 1, 1, 2, 2, 0, 1, 1)"
33,2,"(1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 2, 2, 0, 2, 1)"
34,,"(1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 2, 0, 2, 0, 0, 1, 0, 1, 2, 1, 2, 2, 2, 2, 2, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1)"
35,0,"(1, 1, 1, 0, 2, 2, 2, 0, 1, 2, 2, 1, 2, 2, 1, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 2, 2, 1, 1, 0, 1, 0, 0, 0, 2, 1)"
36,1,"(0, 1, 2, 0, 1, 2, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 1)"
37,2,"(1, 1, 1, 2, 1, 1, 2, 1, 2, 0, 1, 2, 1, 0, 2, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1)"
38,3,"(0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 2, 1, 0, 2, 0, 1, 1, 1, 2, 0, 2, 0, 2, 1, 0, 2, 0, 2, 0, 2, 1)"
39,3,"(1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0, 1, 2, 1, 2, 0, 0, 1, 2, 2, 2, 1, 0, 1)"
40,1,"(1, 1, 0, 0, 2, 2, 2, 1, 1, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 1, 2, 1, 2, 1, 1, 2, 1, 0, 0, 1, 2, 0, 0, 2, 1, 1, 0, 2, 1, 0, 1, 1, 0, 2, 2, 1)"
41,1,"(1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 2, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 1)"
42,0,"(0, 1, 0, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 0, 1, 2, 2, 1, 2, 1, 0, 0, 1, 0, 1, 0, 0, 2, 2, 2, 0, 1, 2, 0, 2, 2, 2, 1, 2, 2, 1)"
43,3,"(1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1)"
44,2,"(1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 2, 1, 2, 0, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 0, 2, 0, 1, 2, 2, 1)"
45,0,"(1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 0, 2, 2, 1, 0, 0, 1, 1, 2, 1, 1, 1, 2, 2, 1, 0, 0, 1, 0, 2, 2, 0, 1, 1)"
46,0,"(1, 0, 1, 1, 1, 1, 2, 2, 1, 0, 1, 2, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, 2, 1, 1, 0, 0, 2, 1, 1, 0, 0, 2, 0, 1)"
47,1,"(1, 0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 0, 0, 0, 1)"
48,,"(0, 1, 2, 2, 0, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1)"
49,0,"(1, 1, 1, 2, 1, 1, 0, 1, 1, 0, 2, 0, 2, 1, 1, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 2, 2, 1, 1)"
50,1,"(0, 1, 2, 2, 1, 1, 0, 1, 2, 0, 0, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 1, 0, 2, 0, 0, 1, 0, 2, 1, 1)"
51,,"(1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 0, 0, 0, 1, 1, 2, 2, 1, 2, 2, 0, 2, 2, 0, 1, 0, 1, 0, 1, 1, 1, 1)"
52,1,"(1, 1, 1, 0, 2, 1, 0, 2, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 1, 0, 1, 1)"
53,2,"(1, 2, 1, 1, 2, 0, 2, 0, 1, 1, 1, 1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 2, 2, 0, 1, 1, 2, 1, 1)"
54,3,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 1, 2, 0, 0, 1, 0, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 1, 2, 1, 2, 0, 1, 2, 0, 1, 2, 1)"
55,1,"(1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 2, 1)"
56,,"(1, 0, 1, 1, 2, 2, 0, 0, 0, 1, 1, 2, 2, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 1, 2, 0, 2, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1)"
57,1,"(1, 1, 1, 2, 0, 1, 1, 1, 2, 1, 2, 0, 0, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 0, 1, 0, 0, 0, 2, 1, 0, 2, 1)"
58,3,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 1, 0, 2, 2, 1, 2, 2, 0, 1, 0, 0, 1, 1, 0, 2, 2, 2, 2, 1, 2, 1, 0, 1, 2, 2, 1)"
59,,"(0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 0, 2, 1, 1, 1, 0, 2, 2, 2, 0, 2, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 2, 2, 2, 1)"
60,3,"(1, 1, 1, 1, 0, 1, 0, 1, 2, 2, 2, 2, 1, 2, 1, 0, 1, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 1, 2, 2, 2, 1, 1, 2, 0, 2, 2, 2, 0, 1, 2, 0, 1, 0, 2, 1)"
61,,"(1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 1, 0, 0, 1)"
62,0,"(1, 1, 2, 0, 1, 2, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 2, 2, 0, 0, 1, 2, 0, 2, 1, 1, 1, 2, 0, 1, 2, 0, 0, 1)"
63,1,"(1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 0, 2, 1, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1)"
64,0,"(1, 1, 1, 2, 2, 1, 0, 2, 1, 2, 1, 1, 2, 1, 1, 0, 1, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 0, 0, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1)"
65,,"(1, 1, 0, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 0, 0, 1, 2, 0, 1, 1, 1, 2, 2, 1, 2, 0, 0, 0, 0, 0, 1)"
66,3,"(0, 1, 2, 2, 2, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 0, 2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 2, 1)"
67,0,"(1, 1, 1, 1, 2, 0, 0, 1, 2, 0, 2, 1, 2, 0, 0, 1, 0, 1, 1, 2, 1, 0, 1, 2, 2, 2, 0, 0, 1, 1, 1, 1, 2, 0, 1)"
