game_n,winner,turn_outcome
0,5,"(1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 2, 1, 0, 0, 2, 1, 0, 1)"
1,5,"(1, 2, 1, 2, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 2, 2, 0, 2, 0, 0, 2, 0, 0, 1, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 1, 2, 0, 0, 1, 2, 0, 1)"
2,3,"(0, 0, 1, 1, 1, 0, 1, 2, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 2, 1, 0, 1, 0, 0, 2, 0, 2, 1, 2, 2, 2, 2, 0, 2, 1, 0, 0, 0, 0, 1, 1, 2, 1, 0, 2, 2, 0, 2, 2, 2, 1)"
3,3,"(0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 2, 2, 1, 2, 2, 2, 2, 0, 1, 2, 2, 1, 1, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 2, 1)"
4,,"(1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 1, 2, 1, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 2, 1)"
5,3,"(0, 1, 1, 2, 2, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1, 1, 2, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 0, 1)"
6,1,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 0, 2, 2, 0, 2, 0, 1, 2, 1, 1, 0, 2, 0, 2, 2, 1, 2, 1, 2, 0, 1, 2, 1, 2, 2, 2, 2, 1)"
7,,"(1, 1, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 0, 1, 2, 0, 2, 1, 1, 2, 0, 0, 2, 2, 0, 1, 0, 1, 1, 0, 2, 1, 0, 1, 0, 1)"
8,1,"(0, 1, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 0, 2, 2, 2, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 1, 2, 1, 0, 1, 1)"
9,1,"(1, 2, 1, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 1, 0, 2, 2, 1, 1, 1, 2, 0, 2, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1)"
10,5,"(1, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 0, 1, 0, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1)"
11,0,"(1, 1, 1, 2, 0, 1, 2, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 2, 0, 2, 0, 2, 1, 0, 1, 2, 2, 2, 2, 2, 0, 2, 1, 2, 1, 1)"
12,,"(1, 1, 0, 1, 0, 1, 1, 0, 2, 0, 2, 0, 2, 1, 1, 2, 1, 0, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1, 0, 2, 0, 1)"
13,4,"(0, 1, 0, 0, 0, 1, 0, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 0, 2, 1, 0, 2, 2, 2, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1)"
14,2,"(1, 1, 0, 0, 1, 2, 0, 1, 1, 0, 1, 0, 1, 2, 1, 1, 2, 2, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1)"
15,5,"(1, 1, 2, 0, 2, 1, 0, 2, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 2, 0, 1, 0, 1, 1, 2, 1, 2, 0, 2, 2, 0, 2, 0, 0, 1, 1, 1, 0, 0, 2, 0, 2, 2, 1, 0, 1, 2, 2, 2, 1, 2, 0, 1, 2, 1)"
16,,"(1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 0, 1, 0, 1, 1, 1, 2, 2, 0, 0, 1, 1, 0, 1, 2, 2, 1, 2, 0, 1, 2, 0, 1)"
17,4,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 2, 2, 1, 1, 1, 1, 2, 0, 1, 2, 2, 0, 1, 0, 0, 1, 2, 2, 2, 1, 1, 0, 0, 1)"
18,2,"(1, 1, 1, 1, 2, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 1)"
19,,"(0, 1, 0, 2, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 2, 0, 2, 2, 1, 2, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 0, 1, 2, 2, 0, 1, 0, 0, 0, 1)"
20,0,"(1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 1, 2, 2, 2, 0, 1, 2, 0, 0, 1, 0, 0, 1, 1, 2, 0, 2, 1, 2, 0, 0, 2, 1, 1, 2, 2, 1, 0, 1, 2, 2, 0, 1)"
21,0,"(1, 2, 1, 0, 0, 2, 1, 2, 0, 1, 2, 1, 2, 2, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 1, 2, 0, 2, 2, 1, 1, 0, 0, 1, 0, 0, 1, 1)"
22,4,"(1, 1, 0, 1, 1, 0, 0, 2, 2, 2, 1, 1, 0, 0, 1, 1, 1, 2, 1, 0, 2, 0, 1, 2, 0, 2, 1, 2, 2, 0, 0, 0, 0, 1, 2, 1, 2, 2, 0, 2, 1, 1)"
23,3,"(1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0, 1, 2, 2, 2, 2, 1, 1, 2, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1)"
24,3,"(1, 1, 2, 1, 2, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 2, 1, 2, 0, 2, 0, 1, 1, 1, 1, 1, 1, 2, 0, 2, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1)"
25,4,"(1, 1, 2, 0, 0, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 2, 1, 0, 0, 2, 1)"
26,5,"(1, 1, 0, 2, 2, 1, 2, 0, 0, 2, 1, 1, 2, 0, 2, 2, 1, 1, 2, 2, 2, 0, 0, 2, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 0, 2, 0, 0, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 1)"
27,2,"(0, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1, 0, 2, 0, 0, 1, 2, 2, 2, 1, 1, 0, 0, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 2, 0, 2, 0, 2, 1, 2, 2, 2, 0, 0, 2, 2, 1, 2, 0, 0, 0, 1)"
28,1,"(1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 0, 1, 1, 0, 1, 2, 2, 2, 2, 0, 1, 1, 0, 2, 2, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1)"
29,5,"(1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 2, 0, 2, 2, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 1, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 0, 1)"
