21, 89.303%, 89.638%, (CI = ,89.287%, - ,89.989%,) ,SUCCESS
22, 85.560%, 85.596%, (CI = ,85.192%, - ,86.000%,) ,SUCCESS
23, 80.774%, 80.840%, (CI = ,80.387%, - ,81.293%,) ,SUCCESS
24, 74.837%, 74.840%, (CI = ,74.340%, - ,75.340%,) ,SUCCESS
25, 68.033%, 67.716%, (CI = ,67.177%, - ,68.255%,) ,SUCCESS
26, 60.699%, 60.942%, (CI = ,60.380%, - ,61.504%,) ,SUCCESS
27, 52.476%, 52.318%, (CI = ,51.743%, - ,52.893%,) ,SUCCESS
28, 43.542%, 43.330%, (CI = ,42.759%, - ,43.901%,) ,SUCCESS
29, 34.629%, 34.746%, (CI = ,34.197%, - ,35.295%,) ,SUCCESS
30, 26.379%, 26.034%, (CI = ,25.529%, - ,26.539%,) ,SUCCESS
31, 19.401%, 19.092%, (CI = ,18.639%, - ,19.545%,) ,SUCCESS
32, 13.581%, 13.566%, (CI = ,13.172%, - ,13.960%,) ,SUCCESS
33,  8.678%,  8.690%, (CI = , 8.366%, - , 9.014%,) ,SUCCESS
34,  5.262%,  5.390%, (CI = , 5.130%, - , 5.650%,) ,SUCCESS
35,  2.891%,  2.812%, (CI = , 2.622%, - , 3.002%,) ,SUCCESS
36,  1.568%,  1.580%, (CI = , 1.436%, - , 1.724%,) ,SUCCESS
